title;rating;ratingLevel;release year;user rating score;ageGroup
White Chicks;PG-13;crude and sexual humor, language and some drug content;2004;82.0;Teen
Lucky Number Slevin;R;strong violence, sexual content and adult language;2006;79.0;Adult
Grey's Anatomy;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;98.0;Teen
Prison Break;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2008;98.0;Teen
How I Met Your Mother;TV-PG;Parental guidance suggested. May not be suitable for all children.;2014;94.0;Parental Guidance
Supernatural;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;95.0;Teen
Breaking Bad;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2013;97.0;Adult
The Vampire Diaries;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2017;91.0;Teen
The Walking Dead;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;98.0;Adult
Pretty Little Liars;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;96.0;Teen
Once Upon a Time;TV-PG;Parental guidance suggested. May not be suitable for all children.;2016;98.0;Parental Guidance
Sherlock;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;95.0;Teen
Death Note;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2006;77.0;Teen
Naruto;TV-PG;Parental guidance suggested. May not be suitable for all children.;2008;88.0;Parental Guidance
The Hunter;R;language and brief violence;2011;79.0;Adult
Lottie Dottie Chicken;TV-Y;Suitable for all ages.;2009;75.5;Kids
Arrow;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;96.0;Teen
Black Mirror;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;80.0;Adult
The Originals;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;74.0;Teen
The 100;NR;This movie has not been rated.;2016;97.0;Unrated
Masha and the Bear;TV-Y;Suitable for all ages.;2013;81.0;Kids
?? Pai, ?? - Look at This;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2007;89.0;Adult
Nymphomaniac: Volume 1;NR;This movie has not been rated.;2013;77.0;Unrated
Hunter X Hunter (2011);NR;This movie has not been rated.;2013;57.0;Unrated
Marvel's Luke Cage;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;95.0;Adult
Marvel's Iron Fist;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;98.0;Adult
Narcos;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;94.0;Adult
The Flash;TV-PG;Parental guidance suggested. May not be suitable for all children.;2016;98.0;Parental Guidance
The Seven Deadly Sins;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;Teen
Scream;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;Teen
The Do-Over;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;84.0;Adult
Opera? ?╡es Especiais;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;89.0;Adult
3%;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;Adult
Trollhunters;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2016;83.0;Kids
Fearless;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;Teen
Hyena Road;R;bloody war violence, language throughout and some sexual material;2015;79.0;Adult
Santa Clarita Diet;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;82.0;Adult
Sex, Love and Therapy;NR;This movie has not been rated.;2014;77.0;Unrated
White Girl;UR;This movie has not been rated. Intended for adults only and may contain sex, violence, drugs, language or other adult themes.;2016;82.0;Unrated
Girlboss;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;94.0;Adult
City of God: 10 Years Later;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2013;89.0;Adult
13 Reasons Why;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;99.0;Adult
Sand Castle;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;Adult
Salvador Martinha - Tip of the Tongue;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;Adult
Sandy Wexler;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2017;92.0;Teen
O Amor no Div?ú;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;Adult
Stronger Than the World;NR;This movie has not been rated.;2016;77.0;Unrated
Back and Forth;NR;This movie has not been rated.;2016;77.0;Unrated
Happily Married;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;86.0;Teen
Pandora;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;Adult
The Office (U.S.);TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;97.0;Teen
90210;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2013;62.0;Teen
Gossip Girl;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;96.0;Teen
Parks and Recreation;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;94.0;Teen
Glee;TV-PG;Parental guidance suggested. May not be suitable for all children.;2015;92.0;Parental Guidance
Family Guy;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;98.0;Adult
Criminal Minds;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;98.0;Teen
Friends;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2003;98.0;Teen
The Secret Life of the American Teenager;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2013;81.0;Teen
One Tree Hill;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2011;90.0;Teen
Shameless (U.S.);TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;97.0;Adult
New Girl;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;91.0;Teen
American Horror Story;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;90.0;Adult
Orange Is the New Black;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;98.0;Adult
Inside Russia's Toughest Prison;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2011;86.0;Teen
Bates Motel;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;83.0;Teen
