title;rating_x;ratingLevel;release year;user rating score;ageGroup;director;cast;country;date_added;release_year_x;duration;listed_in;imdb_score;imdb_votes;budget;genres;popularity;production_companies;release_date;revenue;runtime_y;type
white chicks;PG-13;crude and sexual humor, language and some drug content;2004;82.0;Teen;;;;;;;;;;37000000;['Comedy'];7.723341;['Columbia Pictures', 'Revolution Studios', 'Wayans Bros. Entertainment', 'Gone North Productions'];2004-06-23;113086475.0;109.0;
lucky number slevin;R;strong violence, sexual content and adult language;2006;;Adult;;;;;;;;;;27000000;['Drama', 'Thriller', 'Crime', 'Mystery'];11.15092;['The Weinstein Company', 'FilmEngine', 'Capitol Films', 'Ascendant Pictures', 'VIP Medienfonds 4', 'The Complex Studio'];2006-02-24;56308881.0;110.0;
grey's anatomy;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;98.0;Teen;;Ellen Pompeo, Sandra Oh, Katherine Heigl, Justin Chambers, Patrick Dempsey, Chandra Wilson, T.R. Knight, James Pickens Jr., Isaiah Washington, Sara Ramirez, Eric Dane, Chyler Leigh, Kate Walsh, Kevin McKidd, Jessica Capshaw;United States;;2018.0;15 Seasons;Romantic TV Shows, TV Dramas;7.6;293618.0;;;;;;;;TV Show
prison break;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2008;98.0;Teen;;;;;;;;;;;;;;;;;
how i met your mother;TV-PG;Parental guidance suggested. May not be suitable for all children.;2014;94.0;Parental Guidance;;;;;;;;;;;;;;;;;
supernatural;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;95.0;Teen;Phil Sgriccia;Jared Padalecki, Jensen Ackles, Mark Sheppard, Misha Collins, Jim Beaver, Andrea Menard, Samantha Smith, Mark Pellegrino, Alexander Calvert;United States;;2019.0;14 Seasons;Classic & Cult TV, TV Action & Adventure, TV Horror;8.5;428639.0;0;['Mystery', 'Thriller', 'Horror'];1.023885;['Paramount Pictures'];1933-05-12;0.0;65.0;TV Show
breaking bad;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2013;97.0;Adult;;Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris, Betsy Brandt, R.J. Mitte, Bob Odenkirk, Steven Michael Quezada, Jonathan Banks, Giancarlo Esposito;United States;;2013.0;5 Seasons;Crime TV Shows, TV Dramas, TV Thrillers;9.5;1727694.0;;;;;;;;TV Show
the vampire diaries;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2017;91.0;Teen;;Nina Dobrev, Paul Wesley, Ian Somerhalder, Steven R. McQueen, Sara Canning, Kat Graham, Candice King, Zach Roerig, Michael Trevino, Matthew Davis, Joseph Morgan;United States;;2017.0;8 Seasons;TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy;7.7;310776.0;;;;;;;;TV Show
the walking dead;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;98.0;Adult;;Andrew Lincoln, Steven Yeun, Norman Reedus, Chandler Riggs, Melissa McBride, Lauren Cohan, Danai Gurira, Alanna Masterson, Sonequa Martin-Green, Josh McDermitt, Christian Serratos, Seth Gilliam, Ross Marquand, Lennie James, Emily Kinney, Jon Bernthal;United States;;2018.0;9 Seasons;Classic & Cult TV, TV Action & Adventure, TV Dramas;8.199999999999998;945125.0;0;['Drama', 'War'];0.620873;['Savoy Pictures', 'Price Entertainment', 'Jackson/McHenry Company,The'];1995-02-24;0.0;88.0;TV Show
the walking dead;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;98.0;Adult;;Andrew Lincoln, Steven Yeun, Norman Reedus, Chandler Riggs, Melissa McBride, Lauren Cohan, Danai Gurira, Alanna Masterson, Sonequa Martin-Green, Josh McDermitt, Christian Serratos, Seth Gilliam, Ross Marquand, Lennie James, Emily Kinney, Jon Bernthal;United States;;2018.0;9 Seasons;Classic & Cult TV, TV Action & Adventure, TV Dramas;8.199999999999998;945125.0;0;['Crime', 'Horror', 'Science Fiction'];1.057723;['Warner Bros.'];1936-03-14;0.0;66.0;TV Show
pretty little liars;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;96.0;Teen;;;;;;;;;;;;;;;;;
once upon a time;TV-PG;Parental guidance suggested. May not be suitable for all children.;2016;98.0;Parental Guidance;Mario Van Peebles, Ralph Hemecker, Gwyneth Horder-Payton, Milan Cheylov, Dean White, Michael Waxman, Bryan Spicer;Lana Parrilla, Robert Carlyle, Jared Gilmore, Jennifer Morrison, Ginnifer Goodwin, Josh Dallas, Colin O'Donoghue, Emilie de Ravin;United States;;2018.0;7 Seasons;TV Dramas, TV Sci-Fi & Fantasy;;;0;[];0.204375;[];1922-10-02;0.0;75.0;TV Show
